datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-06-12,15.0,12.0,aspen
2007-06-13,21.0,14.0,aspen
2007-06-14,28.0,17.0,aspen
2007-06-15,24.0,15.0,aspen
2007-06-16,26.0,21.0,aspen
2007-06-17,33.0,25.0,aspen
2007-06-18,33.0,25.0,aspen
2007-06-19,21.0,15.0,aspen
2007-06-20,21.0,16.0,aspen
2007-06-21,37.0,29.0,aspen
2007-06-22,31.0,22.0,aspen
2007-06-23,22.0,16.0,aspen
2007-06-24,28.0,18.0,aspen
2007-06-25,21.0,15.0,aspen
2007-06-26,28.0,18.0,aspen
2007-06-27,30.0,22.0,aspen
2007-06-28,29.0,22.0,aspen
2007-06-29,21.0,15.0,aspen
2007-07-01,23.0,15.0,aspen
2007-07-02,21.0,14.0,aspen
2007-07-03,29.0,14.0,aspen
2007-07-04,30.0,24.0,aspen
2007-07-05,30.0,21.0,aspen
2007-07-06,29.0,20.0,aspen
2007-07-07,31.0,22.0,aspen
2007-07-08,32.0,24.0,aspen
2007-07-09,38.0,21.0,aspen
2007-07-10,26.0,18.0,aspen
2007-07-11,33.0,21.0,aspen
2007-07-12,35.0,26.0,aspen
2007-07-13,25.0,16.0,aspen
2007-07-14,28.0,21.0,aspen
2007-07-15,28.0,17.0,aspen
2007-07-16,31.0,22.0,aspen
2007-07-17,37.0,23.0,aspen
2007-07-18,40.0,30.0,aspen
2007-07-19,32.0,17.0,aspen
2007-07-20,20.0,15.0,aspen
2007-07-21,29.0,22.0,aspen
2007-07-22,24.0,18.0,aspen
2007-07-23,29.0,18.0,aspen
2007-07-24,26.0,22.0,aspen
2007-07-25,31.0,23.0,aspen
2007-07-26,23.0,17.0,aspen
2007-07-27,33.0,24.0,aspen
2007-07-28,17.0,13.0,aspen
2007-07-29,22.0,16.0,aspen
2007-07-30,22.0,16.0,aspen
2007-08-01,33.0,25.0,aspen
2007-08-02,,,aspen
2007-08-03,21.0,15.0,aspen
2007-08-04,24.0,21.0,aspen
2007-08-05,31.0,23.0,aspen
2007-08-06,12.0,9.0,aspen
2007-08-07,17.0,13.0,aspen
2007-08-08,,14.0,aspen
2007-08-09,22.0,15.0,aspen
2007-08-10,28.0,17.0,aspen
2007-08-11,30.0,20.0,aspen
2007-08-12,29.0,20.0,aspen
2007-08-13,30.0,21.0,aspen
2007-08-14,24.0,16.0,aspen
2007-08-15,23.0,17.0,aspen
2007-08-16,32.0,25.0,aspen
2007-08-17,30.0,22.0,aspen
2007-08-18,25.0,16.0,aspen
2007-08-19,25.0,20.0,aspen
2007-08-20,25.0,16.0,aspen
2007-08-21,18.0,14.0,aspen
